#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:primates" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:primates" name="distribution">
#            <parameter id="clockRate.c:primates" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.150" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="auto_name_1.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:primates">
#            <taxonset id="auto_name_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Tarsius_syrichta" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Lemur_catta" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Homo_sapiens" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Pan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Gorilla" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Pongo" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Hylobates" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Macaca_fuscata" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="M_mulatta" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="M_fascicularis" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="M_sylvanus" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Saimiri_sciureus" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.151" name="distr">
#                <parameter estimate="false" id="RealParameter.300" name="mean" spec="beast.core.parameter.RealParameter">15.0</parameter>
#                <parameter estimate="false" id="RealParameter.301" name="sigma" spec="beast.core.parameter.RealParameter">0.025</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:primates" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:primates" id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.primates	TreeHeight	YuleModel	birthRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	clockRate
19000	-6467.282984683524	-6435.210438122514	-32.07254656101031	-6435.210438122514	14.977132239140047	-34.4241398925212	0.10874185114778005	2.351593331510881	14.977132239140047	0.015289201522593948
20000	-6471.229484224949	-6436.517401097883	-34.712083127066585	-6436.517401097883	14.941471060827904	-34.74151467148716	0.09933736497215995	0.029431544420574163	14.941471060827904	0.015153445624066293
21000	-6471.582951844615	-6438.567721126527	-33.015230718087984	-6438.567721126527	14.965981014302255	-34.85933852867453	0.11147707868356564	1.844107810586544	14.965981014302255	0.014675384489519334
22000	-6466.895069857895	-6434.65384316171	-32.241226696184405	-6434.65384316171	14.984432101394043	-34.81728004348939	0.09937895284646003	2.576053347304986	14.984432101394043	0.014700143495522375
23000	-6471.695090906257	-6437.730309786272	-33.96478111998482	-6437.730309786272	14.954231631623708	-35.058927205831715	0.14754502885655837	1.0941460858468954	14.954231631623708	0.015442236453593139
24000	-6471.846812096713	-6437.801221229015	-34.045590867697285	-6437.801221229015	14.973592520594991	-36.25764781378577	0.18365598102341738	2.2120569460884894	14.973592520594991	0.014961717629120328
25000	-6468.857127930853	-6437.454174168456	-31.402953762396052	-6437.454174168456	15.004412725874142	-34.15731696359306	0.13840842841480286	2.754363201197009	15.004412725874142	0.015842619360040614
26000	-6469.051661637682	-6435.92732785248	-33.12433378520182	-6435.92732785248	15.003348599256057	-35.88530421252895	0.18491029290896496	2.7609704273271305	15.003348599256057	0.014761534383505834
27000	-6469.295972064707	-6436.748747918257	-32.54722414644984	-6436.748747918257	14.976917598088418	-34.89092724495287	0.14964628311402872	2.343703098503026	14.976917598088418	0.015656160503922583
28000	-6474.231076311984	-6438.247987184832	-35.98308912715195	-6438.247987184832	15.040779288494774	-37.422669751949236	0.20349959719830651	1.439580624797289	15.040779288494774	0.014554743868212474
29000	-6471.965228262878	-6438.423582778806	-33.54164548407113	-6438.423582778806	14.958316446922282	-34.921571527234065	0.13934015140078795	1.3799260431629328	14.958316446922282	0.014614821187682165
30000	-6469.081384221762	-6436.878985954011	-32.20239826775115	-6436.878985954011	14.982219417247373	-34.71941989024201	0.13908543847722776	2.517021622490858	14.982219417247373	0.01570505295301304
31000	-6472.880208807381	-6438.911406719485	-33.96880208789615	-6438.911406719485	15.023997298661088	-36.27804673438184	0.1728115032746828	2.3092446464856855	15.023997298661088	0.014809484422213559
32000	-6472.872388822057	-6440.364395563876	-32.50799325817995	-6440.364395563876	14.974732437933252	-34.76717442485164	0.12548198541489927	2.259181166671686	14.974732437933252	0.014308367014407077
33000	-6470.551832104647	-6435.0677598309185	-35.484072273728444	-6435.0677598309185	15.018398732877593	-37.9832024974369	0.2309235649511299	2.4991302237084536	15.018398732877593	0.01554431126194176
34000	-6469.886839499916	-6437.207829512503	-32.679009987413195	-6437.207829512503	15.018398732877593	-35.17814021112165	0.14346493260763268	2.4991302237084536	15.018398732877593	0.015418323539194007
35000	-6468.984703282061	-6436.288956661368	-32.6957466206929	-6436.288956661368	14.996305862015031	-35.45477021724057	0.15573026018936886	2.759023596547673	14.996305862015031	0.01481283862945491
36000	-6472.6566449554075	-6439.620754080647	-33.03589087476004	-6439.620754080647	14.9838228631291	-35.59647198979746	0.07818866706752493	2.560581115037414	14.9838228631291	0.01488972744927574
37000	-6468.360998520387	-6435.353241290571	-33.00775722981568	-6435.353241290571	15.001292046594298	-35.77636264320348	0.1578322809294887	2.7686054133877946	15.001292046594298	0.015022260179884202
38000	-6470.783229056575	-6438.429450932922	-32.35377812365276	-6438.429450932922	14.992973926218207	-35.08422647433226	0.12161556217729001	2.730448350679506	14.992973926218207	0.014750107776943954
39000	-6469.0284042427	-6436.513201126909	-32.51520311579163	-6436.513201126909	15.013970776900567	-35.12899795093655	0.09156863365655128	2.61379483514492	15.013970776900567	0.014805502932007684
40000	-6469.319078090184	-6437.175958057366	-32.14312003281814	-6437.175958057366	14.98575366206139	-34.75069443799853	0.133470754104633	2.6075744051803915	14.98575366206139	0.01527671652908886
41000	-6466.81820976877	-6434.908686969566	-31.909522799205135	-6434.908686969566	14.997862557519031	-34.67580879182684	0.10495031156133146	2.7662859926217043	14.997862557519031	0.015760653004169657
42000	-6468.061208168442	-6434.447293649976	-33.61391451846581	-6434.447293649976	14.99718270201216	-36.37750570501325	0.0654376524362815	2.7635911865474374	14.99718270201216	0.01467653526283199
43000	-6471.539654711916	-6437.048028232605	-34.491626479311094	-6437.048028232605	14.957060629070575	-35.78653573956859	0.17474349634439465	1.2949092602574943	14.957060629070575	0.0160661098473933
44000	-6471.392160420977	-6438.414207568621	-32.97795285235549	-6438.414207568621	14.984216822128166	-35.548606810277604	0.13843761997087725	2.5706539579221137	14.984216822128166	0.013789461180351787
45000	-6469.759892668827	-6436.475002355496	-33.28489031333124	-6436.475002355496	15.007371251448651	-36.011362955905106	0.06985207081123335	2.726472642573869	15.007371251448651	0.0154234076647055
46000	-6468.403270425554	-6436.161975384685	-32.241295040868884	-6436.161975384685	15.007371251448651	-34.96776768344275	0.13028255683596995	2.726472642573869	15.007371251448651	0.015095269239447325
47000	-6468.879037715281	-6436.023186892099	-32.8558508231817	-6436.023186892099	14.98160821803825	-35.35518562910812	0.08321932118668875	2.499334805926426	14.98160821803825	0.014436814824625945
48000	-6469.185826987172	-6436.550543171363	-32.63528381580948	-6436.550543171363	14.971851488181569	-34.771353762644864	0.09250126739465633	2.1360699468353825	14.971851488181569	0.015721398614627877
49000	-6466.62720373692	-6433.964984255436	-32.66221948148327	-6433.964984255436	14.998857298546309	-35.43111578910272	0.14829949425094996	2.768896307619449	14.998857298546309	0.015055517785079445
50000	-6468.742469977975	-6436.415372522552	-32.32709745542295	-6436.415372522552	14.98602152275469	-34.9407201154541	0.11919470414815714	2.613622660031149	14.98602152275469	0.01472564834308847
51000	-6477.713758318343	-6444.050487329533	-33.66327098881008	-6444.050487329533	15.01939522578067	-36.132272083252815	0.15087228021969987	2.469001094442731	15.01939522578067	0.014044550625654535
52000	-6470.388818173563	-6437.480141410031	-32.908676763532085	-6437.480141410031	14.987482520739587	-35.55326785481344	0.16067624621427687	2.6445910912813586	14.987482520739587	0.015463641403643862
53000	-6469.769995588843	-6435.973137167383	-33.796858421459625	-6435.973137167383	15.042702763151071	-35.10797855777968	0.11300077517961275	1.3111201363200582	15.042702763151071	0.0149205694642988
54000	-6468.870885588789	-6436.666982600559	-32.20390298822979	-6436.666982600559	14.991563279549009	-34.91690130756452	0.10820255320744308	2.7129983193347282	14.991563279549009	0.015058718429344725
55000	-6470.42825085066	-6437.997105809295	-32.43114504136543	-6437.997105809295	14.991563279549009	-35.14414336070016	0.16326441887798915	2.7129983193347282	14.991563279549009	0.015667759695291314
56000	-6471.22080903996	-6439.253371501157	-31.967437538803132	-6439.253371501157	14.991563279549009	-34.68043585813786	0.1317144276083423	2.7129983193347282	14.991563279549009	0.014342881608364494
57000	-6467.758923446941	-6435.560550707984	-32.19837273895673	-6435.560550707984	14.980273155366922	-34.656994940523894	0.11131165800073474	2.4586222015671693	14.980273155366922	0.014962213108557148
58000	-6466.762016743353	-6434.609515829645	-32.15250091370823	-6434.609515829645	15.002203352918674	-34.918558023350116	0.1339841662767693	2.766057109641882	15.002203352918674	0.015168148029128612
59000	-6469.668284151655	-6437.76081377698	-31.907470374674734	-6437.76081377698	15.002203352918674	-34.673527484316615	0.13685085894181587	2.766057109641882	15.002203352918674	0.015164611802444695
60000	-6472.804763465296	-6439.8830707480665	-32.921692717228794	-6439.8830707480665	14.970748951424977	-35.00713456394735	0.09465529429433038	2.0854418467185574	14.970748951424977	0.01455302809292084
61000	-6467.887794712247	-6435.67267123531	-32.21512347693746	-6435.67267123531	15.001536281100712	-34.983176270150395	0.15119182666545966	2.7680527932129393	15.001536281100712	0.01542778620667358
62000	-6476.091751395167	-6441.065181795088	-35.02656960007881	-6441.065181795088	15.062317109173481	-34.68977284439642	0.08753789126331477	-0.33679675568238565	15.062317109173481	0.015542105916232516
63000	-6469.4409764925795	-6436.031996459269	-33.408980033310726	-6436.031996459269	15.004012597736775	-36.166040201742256	0.18037837564911965	2.7570601684315257	15.004012597736775	0.014366686636120158
64000	-6472.2426026586345	-6437.498361570587	-34.74424108804728	-6437.498361570587	14.946257247321057	-35.203555236548524	0.07980202568840365	0.4593141485012442	14.946257247321057	0.014978154841849545
65000	-6466.254458016068	-6432.65164336969	-33.60281464637837	-6432.65164336969	14.954372007077108	-34.70722457675045	0.13384140589247642	1.1044099303720785	14.954372007077108	0.015455016226325651
66000	-6469.177901573018	-6435.057962219436	-34.119939353582126	-6435.057962219436	15.002894485389481	-36.88317783795546	0.1793888899078237	2.7632384843733284	15.002894485389481	0.014622361832314723
67000	-6467.893630059958	-6434.769090707885	-33.124539352072794	-6434.769090707885	15.016119590743271	-35.68660730839762	0.15797603659017506	2.5620679563248263	15.016119590743271	0.014545719984299021
68000	-6467.247591637938	-6435.145173506875	-32.10241813106291	-6435.145173506875	15.024116842193704	-34.40706139005535	0.10853480012236581	2.3046432589924324	15.024116842193704	0.015493955416630692
69000	-6467.704416710664	-6434.934206987297	-32.77020972336666	-6434.934206987297	15.00171700026807	-35.537792172339486	0.08203128274836774	2.7675824489728234	15.00171700026807	0.014782320520817877
70000	-6472.69743145852	-6439.815484378948	-32.88194707957249	-6439.815484378948	15.00614838068297	-35.621645932463586	0.16367422047004862	2.7396988528910966	15.00614838068297	0.015354997901656415
71000	-6475.567453333364	-6444.023966413018	-31.543486920346	-6444.023966413018	15.017472098347149	-34.069208464733315	0.12702667960981878	2.5257215443873116	15.017472098347149	0.016145436786049818
72000	-6473.718476403769	-6441.285826750627	-32.43264965314238	-6441.285826750627	14.978441961856078	-34.83079136715979	0.1341438555014755	2.398141714017412	14.978441961856078	0.01499872341106874
73000	-6469.087658655337	-6435.542094374981	-33.54556428035502	-6435.542094374981	14.964012346044164	-35.27941621146831	0.13230453436463802	1.7338519311132823	14.964012346044164	0.014447000523335243
74000	-6473.5089333364	-6439.770135952454	-33.738797383946036	-6439.770135952454	15.041152626488588	-35.15390737132794	0.09811378806352872	1.415109987381907	15.041152626488588	0.014959699312718743
75000	-6471.453843681666	-6439.546399407665	-31.907444274000664	-6439.546399407665	15.008089417372991	-34.625034256162365	0.13656027301887583	2.717589982161701	15.008089417372991	0.015660263375176703
76000	-6480.2718717969865	-6447.639005017113	-32.63286677987379	-6447.639005017113	15.012378823764735	-35.28021947854436	0.18336451969548104	2.647352698670576	15.012378823764735	0.018055448047761564
77000	-6467.30429882428	-6433.268097950006	-34.03620087427332	-6433.268097950006	14.964137075903619	-35.77722233538833	0.18077076455147228	1.7410214611150086	14.964137075903619	0.015439743590387585
78000	-6477.662990921911	-6442.5332368668405	-35.12975405507055	-6442.5332368668405	14.935811558194736	-34.6035701268696	0.12352893760637657	-0.526183928200953	14.935811558194736	0.01587297640525039
79000	-6468.94899806264	-6435.11561432329	-33.83338373935054	-6435.11561432329	14.964012209698547	-35.56722781963471	0.15595831926531203	1.733844080284171	14.964012209698547	0.015127211800820118
80000	-6468.910615498879	-6436.585344840039	-32.32527065883999	-6436.585344840039	14.984126623127683	-34.89364030508476	0.11657811354461818	2.5683696462447676	14.984126623127683	0.015318916381097766
81000	-6469.21441848825	-6437.185960699449	-32.02845778880025	-6437.185960699449	14.995923024383027	-34.7851013255644	0.12317230405150832	2.756643536764147	14.995923024383027	0.014966200859446032
82000	-6468.572870108826	-6436.651680476122	-31.921189632703623	-6436.651680476122	15.011784098222524	-34.580038576878415	0.09937508339835176	2.6588489441747907	15.011784098222524	0.015654859015736933
83000	-6472.641561675633	-6438.100234578103	-34.54132709753066	-6438.100234578103	15.054543290641577	-34.931291575230674	0.0875027392261989	0.38996447770000886	15.054543290641577	0.016693277635409214
84000	-6465.679892505218	-6433.804611775588	-31.87528072963082	-6433.804611775588	15.000964312552785	-34.644477731580515	0.11458758721096124	2.7691970019496965	15.000964312552785	0.015438272238847998
85000	-6470.892983976643	-6438.321694428798	-32.57128954784519	-6438.321694428798	15.013199120109286	-35.20185705142696	0.11554076404934893	2.630567503581772	15.013199120109286	0.013833542583003
86000	-6469.755054695818	-6437.671318574529	-32.08373612128861	-6437.671318574529	14.998252530064782	-34.85123412125828	0.1346098706306754	2.7674979999696716	14.998252530064782	0.015160460054617868
87000	-6476.916192854192	-6441.87718666207	-35.039006192121285	-6441.87718666207	15.014479940860832	-37.641212163163985	0.21069174167334162	2.602205971042699	15.014479940860832	0.014102215060328382
88000	-6469.902093211429	-6436.633787276552	-33.26830593487711	-6436.633787276552	15.013169802001679	-35.89949190797564	0.17234761519130062	2.6311859730985248	15.013169802001679	0.015015856541143366
89000	-6468.993606565091	-6436.501738330658	-32.491868234433376	-6436.501738330658	15.00605641931036	-35.23246498345232	0.08656527688371465	2.7405967490189442	15.00605641931036	0.014494942989564998
90000	-6468.324798200015	-6435.252752357181	-33.072045842834356	-6435.252752357181	14.967860778426257	-35.015643113050686	0.09293300439943644	1.943597270216332	14.967860778426257	0.0153539218247898
91000	-6472.027881136849	-6438.82203044494	-33.20585069190957	-6438.82203044494	14.973857616265034	-35.42905223094187	0.0866467341369742	2.2232015390323046	14.973857616265034	0.014625554120083012
92000	-6469.918525830135	-6437.2881881216745	-32.63033770846065	-6437.2881881216745	14.990739688078357	-35.331675927861006	0.09126186041489247	2.701338219400358	14.990739688078357	0.014814805275523549
93000	-6469.136774873912	-6435.406721396617	-33.73005347729529	-6435.406721396617	15.034400801584292	-35.55326227849109	0.14556781676320935	1.8232088011958	15.034400801584292	0.014673707736409398
94000	-6469.17152287439	-6434.45424014144	-34.717282732949485	-6434.45424014144	15.019171501199393	-37.193186487268086	0.2024309844560985	2.4759037543185975	15.019171501199393	0.014486530870857443
95000	-6468.907858463853	-6435.006387879681	-33.90147058417145	-6435.006387879681	14.969382483413291	-35.9214656475308	0.07228601534524982	2.01999506335935	14.969382483413291	0.015263797239801348
96000	-6468.2225960866	-6434.331734631139	-33.890861455460836	-6434.331734631139	15.00280956025772	-36.65448747329669	0.062412840114022795	2.7636260178358545	15.00280956025772	0.01428388168033231
97000	-6472.293890850921	-6439.890856405959	-32.403034444962316	-6439.890856405959	14.99749858989194	-35.167969723848614	0.14405657615112039	2.7649352788862998	14.99749858989194	0.014743905220459085
98000	-6468.403157816827	-6434.6598333789925	-33.74332443783475	-6434.6598333789925	14.988774281078276	-36.41245194649638	0.18395132121211033	2.66912750866163	14.988774281078276	0.015176036905870705
99000	-6466.867285382517	-6434.674401320069	-32.192884062448314	-6434.674401320069	15.004424077765089	-34.94716701210034	0.1179155094537268	2.754282949652021	15.004424077765089	0.01525531341235221
100000	-6469.83584928996	-6437.707892135064	-32.127957154896144	-6437.707892135064	15.010546054531845	-34.808922662854485	0.13653597809987733	2.6809655079583377	15.010546054531845	0.015806579433322244
101000	-6469.767760080511	-6435.403151090852	-34.36460898965938	-6435.403151090852	15.044964694529993	-35.51709090722819	0.08155707746312922	1.1524819175688084	15.044964694529993	0.014815404098593032
102000	-6469.383667494562	-6436.496933558428	-32.8867339361344	-6436.496933558428	15.030332411879678	-34.920630688692896	0.13963776999607602	2.0338967525585	15.030332411879678	0.01559668382909971
103000	-6469.11703798866	-6434.498970447406	-34.61806754125437	-6434.498970447406	15.030332411879678	-36.65196429381287	0.2040697381690821	2.0338967525585	15.030332411879678	0.015294562893877782
104000	-6471.0385745643625	-6438.945408594291	-32.09316597007143	-6438.945408594291	15.018498308321957	-34.589356962361336	0.1350982524105749	2.4961909922899044	15.018498308321957	0.016271743010978175
105000	-6470.031737448341	-6435.311126716393	-34.720610731947794	-6435.311126716393	15.005393354885264	-37.46728103132234	0.21865054436652684	2.7466702993745424	15.005393354885264	0.015191688375249526
106000	-6471.973214001094	-6438.336571742849	-33.63664225824546	-6438.336571742849	14.997676585403982	-36.402264574846726	0.05993712409723381	2.76562231660127	14.997676585403982	0.015934350396156222
107000	-6472.5503498379	-6441.183928162908	-31.366421674992065	-6441.183928162908	14.997676585403982	-34.132043991593335	0.10793121100314952	2.76562231660127	14.997676585403982	0.01576058068359938
108000	-6470.35251618507	-6437.77713142322	-32.57538476184984	-6437.77713142322	15.00244359981878	-35.340548738699624	0.09009949416117309	2.765163976849787	15.00244359981878	0.014158127925469792
109000	-6470.867280159035	-6438.136904060452	-32.730376098582134	-6438.136904060452	15.026835219947998	-34.92421379576547	0.13806069141257912	2.1938376971833304	15.026835219947998	0.014628201484052512
110000	-6470.870172189086	-6437.956090517347	-32.91408167173882	-6437.956090517347	14.981053071766956	-35.39683372107359	0.16710907211243886	2.482752049334771	14.981053071766956	0.015090332444975117
111000	-6467.338213520341	-6435.396799807284	-31.94141371305689	-6435.396799807284	14.991885793887516	-34.65868236129745	0.10403292431040484	2.7172686482405606	14.991885793887516	0.015056306047676764
112000	-6467.536701755915	-6435.130027243604	-32.40667451231077	-6435.130027243604	15.019142090993846	-34.8834797151267	0.09281514542334161	2.476805202815926	15.019142090993846	0.01535815991136379
113000	-6469.2385744804105	-6435.474397151432	-33.76417732897907	-6435.474397151432	14.988224981140783	-36.42319739458041	0.1931681770276348	2.6590200656013403	14.988224981140783	0.015644140433345263
114000	-6466.000309372076	-6433.2967704200455	-32.703538952030584	-6433.2967704200455	15.02281665084536	-35.05700022830058	0.152181968555906	2.353461276269994	15.02281665084536	0.015011280784895428
