#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:primates" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:primates" name="distribution">
#            <parameter id="clockRate.c:primates" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.150" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="auto_name_1.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:primates">
#            <taxonset id="auto_name_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Tarsius_syrichta" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Lemur_catta" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Homo_sapiens" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Pan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Gorilla" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Pongo" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Hylobates" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Macaca_fuscata" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="M_mulatta" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="M_fascicularis" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="M_sylvanus" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Saimiri_sciureus" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.151" name="distr">
#                <parameter estimate="false" id="RealParameter.300" name="mean" spec="beast.core.parameter.RealParameter">15.0</parameter>
#                <parameter estimate="false" id="RealParameter.301" name="sigma" spec="beast.core.parameter.RealParameter">0.025</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:primates" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:primates" id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.primates	TreeHeight	YuleModel	birthRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	clockRate
0	-157169.80525405888	-10302.309406882481	-146867.4958471764	-10302.309406882481	1.4507711293012	-4.983395635053545	1.0	-146862.51245154135	1.4507711293012	1.0
1000	-6808.659824177148	-6782.853420159275	-25.806404017873575	-6782.853420159275	15.021042052911888	-28.22213054618549	0.34501596986322874	2.4157265283119163	15.021042052911888	0.04549755199179944
2000	-6477.720297726939	-6444.575612552534	-33.14468517440537	-6444.575612552534	15.032552590550209	-35.066889174091	0.1892551357757911	1.922203999685637	15.032552590550209	0.01595808835858639
3000	-6469.723005252715	-6435.855228051225	-33.86777720148977	-6435.855228051225	15.000297351942612	-36.637647387856816	0.19471886107594588	2.7698701863670436	15.000297351942612	0.014600971227340687
4000	-6466.735746321344	-6434.479462540033	-32.256283781311204	-6434.479462540033	14.994717060321447	-35.00389714090269	0.09138012262529747	2.74761335959148	14.994717060321447	0.015175226769481843
5000	-6472.270617913045	-6438.465400089741	-33.80521782330398	-6438.465400089741	14.968850676072348	-35.79893443929341	0.15622849016862533	1.9937166159894337	14.968850676072348	0.014364329432896346
6000	-6476.982222752477	-6443.453536455414	-33.52868629706337	-6443.453536455414	15.035034281245306	-35.316706528072494	0.1320942698563867	1.7880202310091198	15.035034281245306	0.01386084726889107
7000	-6471.2052325988925	-6437.905531077431	-33.2997015214612	-6437.905531077431	15.035034281245306	-35.08772175247032	0.13031654182115657	1.7880202310091198	15.035034281245306	0.015066129469226685
8000	-6469.274235237749	-6436.949641014292	-32.32459422345729	-6436.949641014292	15.0097509214605	-35.01847076890349	0.10788324507178002	2.6938765454462015	15.0097509214605	0.014717544914162462
9000	-6470.575573097195	-6438.154301463283	-32.42127163391181	-6438.154301463283	15.0097509214605	-35.11514817935801	0.12159100364374044	2.6938765454462015	15.0097509214605	0.014643905181109218
10000	-6467.976358443674	-6435.549788366193	-32.426570077481635	-6435.549788366193	15.0097509214605	-35.12044662292784	0.1233941923495317	2.6938765454462015	15.0097509214605	0.014826356483867278
11000	-6473.925199985701	-6440.471400966448	-33.453799019252834	-6440.471400966448	15.029321897112446	-35.5359210199438	0.16987955778509503	2.0821220006909664	15.029321897112446	0.015510477312316273
12000	-6473.475120122996	-6440.859991447539	-32.61512867545702	-6440.859991447539	15.012929205909549	-35.25133810400508	0.08003922915820155	2.636209428548056	15.012929205909549	0.015620399961120421
13000	-6466.94940495115	-6434.535117786702	-32.41428716444797	-6434.535117786702	15.023761405284581	-34.73254458047873	0.11167649112017936	2.3182574160307583	15.023761405284581	0.015226373688923716
14000	-6466.570166068836	-6434.4570548582	-32.113111210636774	-6434.4570548582	15.00703114777235	-34.843502500348734	0.0965391946551407	2.7303912897119615	15.00703114777235	0.015422546709704702
15000	-6473.384775071649	-6440.372994370107	-33.01178070154083	-6440.372994370107	14.969392714733472	-35.03227689334077	0.08047476692616126	2.020496191799944	14.969392714733472	0.01548798764088912
16000	-6468.586188600424	-6436.072620387426	-32.51356821299855	-6436.072620387426	15.019357732194809	-34.98373169732706	0.1331897578848499	2.4701634843285056	15.019357732194809	0.014797997308610682
17000	-6468.815768065796	-6434.559846843155	-34.25592122264049	-6434.559846843155	14.949162215897037	-34.958277909550134	0.10520136392615614	0.7023566869096438	14.949162215897037	0.014163298059244976
18000	-6472.793691274833	-6439.103596639521	-33.69009463531133	-6439.103596639521	15.043599336090496	-34.93931387019496	0.12370554222256319	1.2492192348836237	15.043599336090496	0.01475142757706981
